judul_film,rating
'Breaker' Morant,4.098484848484849
'Crocodile' Dundee II,2.5564853556485354
'I Know Where I'm Going!',3.8
'Northwest Passage' (Book I -- Rogers' Rangers),3.375
'Round Midnight,3.5384615384615383
'Til There Was You,2.3181818181818183
"'night, Mother",4.0
*batteries not included,3.231578947368421
...All the Marbles,3.5
...And Justice for All.,3.438775510204082
10 Items or Less,3.534090909090909
10 Rillington Place,3.7777777777777777
10 Things I Hate About You,3.3066825775656326
10 to Midnight,2.625
"10,000 BC",2.5168539325842696
10.5,2.759259259259259
100 Girls,3.09375
100 Rifles,3.0
101 Reykjavík,3.5294117647058822
102 Dalmatians,2.3533333333333335
10th & Wolf,3.5
11'09''01 - September 11,3.275
11:14,3.548076923076923
12 Angry Men,4.173655913978495
13 Going on 30,3.0
13 Rue Madeleine,4.1
13 Tzameti,3.735294117647059
1408,3.2436708860759493
1492: Conquest of Paradise,3.076923076923077
15 Minutes,2.7736842105263158
16 Blocks,3.2869318181818183
17 sui de tian kong,3.125
1732 Høtten,2.0
1776,3.5454545454545454
18 Again!,2.1666666666666665
1941,2.7982456140350878
2 Days in Paris,3.2454545454545456
2 Days in the Valley,3.3
2 Fast 2 Furious,2.335680751173709
2 ou 3 choses que je sais d'elle,3.25
20 Dates,3.0208333333333335
20 Million Miles to Earth,3.6649659863945576
200 Cigarettes,2.794642857142857
20000 Leagues Under the Sea,3.686046511627907
2001 Maniacs,1.75
2001: A Space Odyssey,3.851727982162765
2010,3.269230769230769
2046,3.742063492063492
21,3.266304347826087
21 Grams,3.7320675105485233
24 7: Twenty Four Seven,3.25
24 Hour Party People,3.618827160493827
25th Hour,3.794788273615635
27 Dresses,3.067073170731707
28 Days Later...,3.6131436314363143
28 Up,4.068181818181818
28 Weeks Later,3.3925619834710745
29th Street,3.625
3 Men and a Baby,2.8252032520325203
3 Men and a Little Lady,2.3363636363636364
3 Ninjas,2.110294117647059
3 Ninjas Kick Back,1.71875
3 Ninjas Knuckle Up,1.0714285714285714
3 Ninjas: High Noon at Mega Mountain,1.1481481481481481
3 Strikes,2.3
3 Women,3.890625
3-4 x jûgatsu,2.676470588235294
30 Days of Night,3.068877551020408
300,3.6185897435897436
3000 Miles to Graceland,2.7606837606837606
"301, 302",1.5
36 Hours,3.0
36 Quai des Orfèvres,2.5
36 fillette,3.0
37°2 le matin,3.735294117647059
3:10 to Yuma,3.799373040752351
4 Little Girls,3.8703703703703702
4 for Texas,3.1666666666666665
"4 luni, 3 saptamâni si 2 zile",3.762295081967213
40 Days and 40 Nights,2.738372093023256
42: Forty Two Up,4.058139534883721
42nd Street,3.7
48 Hrs.,3.363879003558719
49 Up,3.8846153846153846
49th Parallel,3.375
4: Rise of the Silver Surfer,2.88728323699422
5 Card Stud,3.4
50 First Dates,3.4228855721393034
52 Pick-Up,3.0357142857142856
54,2.8489583333333335
5x2,3.3684210526315788
633 Squadron,3.5
7 Faces of Dr. Lao,3.5
8 Heads in a Duffel Bag,2.6272727272727274
8 Mile,3.2516025641025643
8 Seconds,3.3333333333333335
8 femmes,3.538961038961039
8 ½ Women,3.1
800 balas,2.909090909090909
84 Charing Cross Road,3.765957446808511
88 Minutes,2.925
8MM,3.0040983606557377
8½,3.9344262295081966
9 Dead Gay Guys,2.5
9 Songs,2.6
976-Evil II,1.8333333333333333
99 francs,3.423076923076923
A Beautiful Mind,3.892576419213974
A Boy Called Hate,3.5
A Boy and His Dog,3.472972972972973
A Bridge Too Far,3.9
A Brief History of Time,4.0125
A Bronx Tale,3.7635135135135136
A Brother's Kiss,3.0
A Bucket of Blood,3.0714285714285716
A Bug's Life,3.4840848806366047
A Century of Cinema,4.5
A Charlie Brown Christmas,3.851063829787234
A Chorus Line,3.117021276595745
A Christmas Carol,3.7719298245614037
A Christmas Story,3.8929440389294405
A Civil Action,3.2801724137931036
A Claymation Christmas Celebration,4.083333333333333
A Clockwork Orange,3.9984309623430963
A Cock and Bull Story,3.4050632911392404
"A Cool, Dry Place",3.375
A Countess from Hong Kong,2.125
A Crude Awakening: The Oil Crash,3.0
A Damsel in Distress,3.5
A Day at the Races,4.098591549295775
A Decade Under the Influence,3.661764705882353
A Dirty Shame,2.911764705882353
A Dog of Flanders,2.25
A Dog's Life,4.071428571428571
A Dry White Season,3.0
A Face in the Crowd,4.137931034482759
A Family Thing,3.5294117647058822
A Far Off Place,3.1818181818181817
A Farewell to Arms,3.0714285714285716
A Fei zheng chuan,3.9107142857142856
A Few Good Men,3.7491666666666665
A Fish Called Wanda,3.7405523255813953
A Foreign Affair,3.375
A Funny Thing Happened on the Way to the Forum,3.622448979591837
A Further Gesture,3.5
A Good Man in Africa,2.5833333333333335
A Good Woman,3.325
A Good Year,3.280701754385965
A Goofy Movie,2.768421052631579
A Grand Day Out with Wallace and Gromit,4.009485094850948
A Great Day in Harlem,3.2777777777777777
A Guide to Recognizing Your Saints,3.425925925925926
A Guy Thing,2.6914893617021276
A Handful of Dust,3.1666666666666665
A Hard Day's Night,3.8716216216216215
A Hard Rain's Gonna Fall,2.891566265060241
A History of Violence,3.5902777777777777
A Hole in the Head,3.875
A Home at the End of the World,3.4444444444444446
