judul_film,rating,title,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,Rating
'Breaker' Morant,4.098484848484849,'Breaker' Morant,Drama,War,,,,,,,2
'Crocodile' Dundee II,2.5564853556485354,'Crocodile' Dundee II,Action,Adventure,Comedy,,,,,,2
'I Know Where I'm Going!',3.8,'I Know Where I'm Going!',Drama,Romance,War,,,,,,2
'Northwest Passage' (Book I -- Rogers' Rangers),3.375,'Northwest Passage' (Book I -- Rogers' Rangers),Action,Adventure,Drama,Romance,Thriller,Western,,,2
'Round Midnight,3.5384615384615383,'Round Midnight,Drama,Musical,,,,,,,2
'Til There Was You,2.3181818181818183,'Til There Was You,Drama,Romance,,,,,,,2
"'night, Mother",4.0,"'night, Mother",Drama,,,,,,,,2
*batteries not included,3.231578947368421,*batteries not included,Children,Comedy,Fantasy,Sci-Fi,,,,,2
...All the Marbles,3.5,...All the Marbles,Action,Comedy,Drama,Romance,,,,,2
...And Justice for All.,3.438775510204082,...And Justice for All.,Drama,Thriller,,,,,,,2
10 Items or Less,3.534090909090909,10 Items or Less,Comedy,Drama,Romance,,,,,,2
10 Rillington Place,3.7777777777777777,10 Rillington Place,Crime,Drama,Thriller,,,,,,2
10 Things I Hate About You,3.306682577565633,10 Things I Hate About You,Comedy,Romance,,,,,,,2
10 to Midnight,2.625,10 to Midnight,Action,Adventure,Thriller,,,,,,2
"10,000 BC",2.5168539325842696,"10,000 BC",Action,Adventure,Drama,,,,,,2
10.5,2.759259259259259,10.5,Action,Drama,Thriller,,,,,,2
100 Girls,3.09375,100 Girls,Comedy,Romance,,,,,,,2
100 Rifles,3.0,100 Rifles,Adventure,Western,,,,,,,2
101 Reykjavík,3.5294117647058822,101 Reykjavík,Comedy,Drama,Romance,,,,,,2
102 Dalmatians,2.353333333333333,102 Dalmatians,Children,Comedy,,,,,,,2
10th & Wolf,3.5,10th & Wolf,Crime,Drama,Thriller,,,,,,2
11'09''01 - September 11,3.275,11'09''01 - September 11,Drama,,,,,,,,2
11'09''01 - September 11,3.275,11'09''01 - September 11,Drama,,,,,,,,2
11:14,3.548076923076923,11:14,Mystery,Thriller,,,,,,,2
12 Angry Men,4.173655913978495,12 Angry Men,Drama,,,,,,,,2
12 Angry Men,4.173655913978495,12 Angry Men,Comedy,,,,,,,,2
13 Going on 30,3.0,13 Going on 30,Comedy,Drama,Fantasy,Romance,,,,,2
13 Rue Madeleine,4.1,13 Rue Madeleine,Thriller,War,,,,,,,2
13 Tzameti,3.735294117647059,13 Tzameti,Film-Noir,Thriller,,,,,,,2
1408,3.2436708860759493,1408,Drama,Horror,Thriller,,,,,,2
1492: Conquest of Paradise,3.076923076923077,1492: Conquest of Paradise,Adventure,Drama,,,,,,,2
15 Minutes,2.773684210526316,15 Minutes,Thriller,,,,,,,,2
16 Blocks,3.2869318181818183,16 Blocks,Crime,Thriller,,,,,,,2
17 sui de tian kong,3.125,17 sui de tian kong,Thriller,,,,,,,,2
1732 Høtten,2.0,1732 Høtten,Thriller,,,,,,,,2
1776,3.5454545454545454,1776,Children,Drama,Musical,,,,,,2
18 Again!,2.1666666666666665,18 Again!,Comedy,,,,,,,,2
1941,2.798245614035088,1941,Comedy,War,,,,,,,2
