title,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8
Toy story,Adventure,Animation,Children,Comedy,Fantasy,,,
Jumanji,Adventure,Children,Fantasy,,,,,
Grumpy Old Men,Comedy,Romance,,,,,,
Waiting to Exhale,Comedy,Drama,Romance,,,,,
Father of the Bride Part II,Comedy,,,,,,,
Heat,Action,Crime,Thriller,,,,,
Sabrina,Comedy,Romance,,,,,,
Tom and Huck,Adventure,Children,,,,,,
Sudden Death,Action,,,,,,,
GoldenEye,Action,Adventure,Thriller,,,,,
The American President,Comedy,Drama,Romance,,,,,
Dracula: Dead and Loving It,Comedy,Horror,,,,,,
Balto,Animation,Children,,,,,,
Nixon,Drama,,,,,,,
Cutthroat Island,Action,Adventure,Romance,,,,,
Casino,Crime,Drama,,,,,,
Sense and Sensibility,Comedy,Drama,Romance,,,,,
Four Rooms,Comedy,Drama,Thriller,,,,,
Ace Ventura: When Nature Calls,Comedy,,,,,,,
Money Train,Action,Comedy,Crime,Drama,Thriller,,,
Get Shorty,Action,Comedy,Drama,,,,,
Copycat,Crime,Drama,Horror,Mystery,Thriller,,,
Ninja Assassin,Action,Crime,Thriller,,,,,
Powder,Drama,Sci-Fi,,,,,,
Leaving Las Vegas,Drama,Romance,,,,,,
Othello,Drama,,,,,,,
Now and Then,Drama,,,,,,,
Persuasion,Drama,Romance,,,,,,
La cité des enfants perdus,Adventure,Drama,Fantasy,Mystery,Sci-Fi,,,
Yao a yao yao dao waipo qiao,Crime,Drama,,,,,,
Dangerous Minds,Drama,,,,,,,
Twelve Monkeys,Sci-Fi,Thriller,,,,,,
Wings of Courage,Adventure,IMAX,Romance,,,,,
Babe,Children,Comedy,Drama,Fantasy,,,,
Carrington,Drama,Romance,,,,,,
Dead Man Walking,Crime,Drama,,,,,,
Across the Sea of Time,Documentary,IMAX,,,,,,
It Takes Two,Comedy,,,,,,,
Clueless,Comedy,Romance,,,,,,
"Cry, the Beloved Country",Drama,,,,,,,
Richard III,Drama,War,,,,,,
Dead Presidents,Action,Crime,Drama,,,,,
Restoration,Drama,,,,,,,
Mortal Kombat,Action,Adventure,Fantasy,,,,,
Live Free or Die Hard,Comedy,Drama,Thriller,,,,,
How to Make an American Quilt,Drama,Romance,,,,,,
Shichinin no samurai,Crime,Horror,Mystery,Thriller,,,,
Pocahontas,Animation,Children,Musical,Romance,,,,
When Night Is Falling,Drama,Romance,,,,,,
The Usual Suspects,Crime,Mystery,Thriller,,,,,
Mighty Aphrodite,Comedy,Drama,Romance,,,,,
Lamerica,Adventure,Drama,,,,,,
The Big Green,Children,Comedy,,,,,,
Georgia Rule,Drama,,,,,,,
Kids of the Round Table,Adventure,Children,Fantasy,,,,,
Home for the Holidays,Drama,,,,,,,
Il postino,Comedy,Drama,Romance,,,,,
Le confessionnal,Drama,Mystery,,,,,,
The Indian in the Cupboard,Adventure,Children,Fantasy,,,,,
Eye for an Eye,Drama,Thriller,,,,,,
Mr. Holland's Opus,Drama,,,,,,,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,Crime,,,,,,
Two If by Sea,Comedy,Romance,,,,,,
Bio-Dome,Comedy,,,,,,,
Lawnmower Man 2: Beyond Cyberspace,Action,Sci-Fi,Thriller,,,,,
Two Bits,Drama,,,,,,,
Gazon maudit,Comedy,Romance,,,,,,
Friday,Comedy,,,,,,,
From Dusk Till Dawn,Action,Comedy,Horror,Thriller,,,,
Fair Game,Action,,,,,,,
Kicking & Screaming,Comedy,Drama,,,,,,
Les misérables,Drama,War,,,,,,
Bed of Roses,Drama,Romance,,,,,,
Big Bully,Comedy,Drama,,,,,,
Screamers,Action,Sci-Fi,Thriller,,,,,
Nico Icon,Documentary,,,,,,,
The Crossing Guard,Drama,,,,,,,
The Juror,Drama,Thriller,,,,,,
Badkonake sefid,Children,Drama,,,,,,
Things to Do in Denver When You're Dead,Crime,Drama,Romance,,,,,
Antonia,Comedy,Drama,,,,,,
Once Upon a Time... When We Were Colored,Drama,,,,,,,
Last Summer in the Hamptons,Comedy,Drama,,,,,,
Angels and Insects,Drama,Romance,,,,,,
White Squall,Adventure,Drama,,,,,,
Dunston Checks In,Children,Comedy,,,,,,
Black Sheep,Comedy,,,,,,,
Nick of Time,Action,Thriller,,,,,,
The Journey of August King,Drama,,,,,,,
Mary Reilly,Drama,Horror,Thriller,,,,,
Vampire in Brooklyn,Comedy,Romance,,,,,,
Beautiful Girls,Comedy,Drama,Romance,,,,,
Broken Arrow,Action,Adventure,Thriller,,,,,
In the Bleak Midwinter,Comedy,Drama,,,,,,
La haine,Drama,,,,,,,
Going Shopping,Action,Thriller,,,,,,
Heidi Fleiss: Hollywood Madam,Documentary,,,,,,,
City Hall,Drama,Thriller,,,,,,
Bottle Rocket,Adventure,Comedy,Crime,Romance,,,,
Mr. Wrong,Comedy,,,,,,,
Unforgettable,Mystery,Sci-Fi,Thriller,,,,,
Happy Gilmore,Comedy,,,,,,,
The Bridges of Madison County,Drama,Romance,,,,,,
Keiner liebt mich,Comedy,Drama,,,,,,
Muppet Treasure Island,Adventure,Children,Comedy,Musical,,,,
Braveheart,Action,Drama,War,,,,,
Taxi Driver,Crime,Drama,Thriller,,,,,
Hung fan kui,Action,Adventure,Comedy,Crime,,,,
Before and After,Drama,Mystery,,,,,,
Margaret's Museum,Drama,,,,,,,
Le bonheur est dans le pré,Comedy,,,,,,,
Anne Frank Remembered,Documentary,,,,,,,
The Young Poisoner's Handbook,Crime,Drama,,,,,,
If Lucy Fell,Comedy,Romance,,,,,,
Steal Big Steal Little,Comedy,,,,,,,
Race the Sun,Drama,,,,,,,
The Boys of St. Vincent,Drama,,,,,,,
